+----+-----------------------------------------------+------------+-----------+--------+----------+---------------+---------------+-------------------------------------------------------------------------------------+
|    | Address                                       | Status     |   $ Price | Beds   | Baths    |   Square Feet | Acre Lot      | More Info Link                                                                      |
|----+-----------------------------------------------+------------+-----------+--------+----------+---------------+---------------+-------------------------------------------------------------------------------------|
|  0 | 924 Forest Glen Dr W, Winnetka, IL 60093      | For Sale   |    975000 | 4bed   | 2.5bath  |          3024 | 9,540sqft lot | /realestateandhomes-detail/924-Forest-Glen-Dr-W_Winnetka_IL_60093_M85552-99985      |
|  1 | 1037 Cherry St, Winnetka, IL 60093            | For Sale   |    849000 | 3bed   | 2.5bath  |           nan | 9,348sqft lot | /realestateandhomes-detail/1037-Cherry-St_Winnetka_IL_60093_M85245-97923            |
|  2 | 888 Forest Glen Dr E, Winnetka, IL 60093      | For Sale   |   1019000 | 4bed   | 2.5bath  |           nan | 9,148sqft lot | /realestateandhomes-detail/888-Forest-Glen-Dr-E_Winnetka_IL_60093_M79531-70337      |
|  3 | 519 Elder Ln, Winnetka, IL 60093              | Pending    |   3975000 | 5bed   | 7.5bath  |          5600 | 0.34acre lot  | /realestateandhomes-detail/519-Elder-Ln_Winnetka_IL_60093_M72082-36590              |
|  4 | 518 Winnetka Ave Unit 203, Winnetka, IL 60093 | For Sale   |    555000 | 2bed   | 2.5bath  |          2000 |               | /realestateandhomes-detail/518-Winnetka-Ave-Unit-203_Winnetka_IL_60093_M73140-38267 |
|  5 | 680 Green Bay Rd Apt 103, Winnetka, IL 60093  | For Sale   |    509000 | 3bed   | 2bath    |           nan |               | /realestateandhomes-detail/680-Green-Bay-Rd-Apt-103_Winnetka_IL_60093_M85035-00325  |
|  6 | 576 Willow Rd, Winnetka, IL 60093             | Pending    |   3499900 | 7bed   | 7.5+bath |          5862 | 0.38acre lot  | /realestateandhomes-detail/576-Willow-Rd_Winnetka_IL_60093_M74498-85408             |
|  7 | 819 Humboldt Ave, Winnetka, IL 60093          | Pending    |   2475000 | 5bed   | 5.5bath  |          6500 | 0.28acre lot  | /realestateandhomes-detail/819-Humboldt-Ave_Winnetka_IL_60093_M85155-74490          |
|  8 | 350 Rosewood Ave, Winnetka, IL 60093          | Contingent |    899900 | 3bed   | 2.5bath  |          1850 | 0.25acre lot  | /realestateandhomes-detail/350-Rosewood-Ave_Winnetka_IL_60093_M82549-30192          |
|  9 | 27 Indian Hill Rd, Winnetka, IL 60093         | For Sale   |   4999000 | 6bed   | 6.5+bath |          8800 | 1.6acre lot   | /realestateandhomes-detail/27-Indian-Hill-Rd_Winnetka_IL_60093_M78499-35301         |
| 10 | 104 Longmeadow Rd, Winnetka, IL 60093         | For Sale   |   4975000 | 6bed   | 8.5bath  |         13135 | 1.12acre lot  | /realestateandhomes-detail/104-Longmeadow-Rd_Winnetka_IL_60093_M86095-31654         |
| 11 | 826 Humboldt Ave, Winnetka, IL 60093          | For Sale   |    855000 |        |          |           nan | 8,276sqft lot | /realestateandhomes-detail/826-Humboldt-Ave_Winnetka_IL_60093_M88880-91609          |
| 12 | 445 Sheridan Rd, Winnetka, IL 60093           | For Sale   |  15850000 | 5bed   | 5.5+bath |          6174 | 2.22acre lot  | /realestateandhomes-detail/445-Sheridan-Rd_Winnetka_IL_60093_M83665-04424           |
| 13 | 71 Indian Hill Rd, Winnetka, IL 60093         | Pending    |   2795000 | 4bed   | 4.5bath  |          7046 | 1.18acre lot  | /realestateandhomes-detail/71-Indian-Hill-Rd_Winnetka_IL_60093_M74014-88107         |
| 14 | 620 Spruce St, Winnetka, IL 60093             | Pending    |   1380000 | 5bed   | 3.5bath  |           nan | 0.35acre lot  | /realestateandhomes-detail/620-Spruce-St_Winnetka_IL_60093_M89887-02897             |
| 15 | 1357 Sunview Ln, Winnetka, IL 60093           | Contingent |   1649900 | 5bed   | 4.5+bath |          5581 | 0.53acre lot  | /realestateandhomes-detail/1357-Sunview-Ln_Winnetka_IL_60093_M89698-62777           |
| 16 | 717 Park Ave, Winnetka, IL 60093              | For Sale   |   2500000 | 5bed   | 5.5bath  |           nan | 0.48acre lot  | /realestateandhomes-detail/717-Park-Ave_Winnetka_IL_60093_M81861-06294              |
| 17 | 711 Oak St Apt 303, Winnetka, IL 60093        | Contingent |    514000 | 2bed   | 2bath    |          1995 |               | /realestateandhomes-detail/711-Oak-St-Apt-303_Winnetka_IL_60093_M86363-21219        |
| 18 | 1070 Cherry St, Winnetka, IL 60093            | Contingent |   1275000 | 4bed   | 3.5bath  |           nan | 8,851sqft lot | /realestateandhomes-detail/1070-Cherry-St_Winnetka_IL_60093_M89217-35998            |
